id,host_neighbourhood,host_listings_count,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type
49978780,,0,Hernals,,48.221268,16.322674,Entire condominium (condo),Entire home/apt
49980791,,84,Landstra∂ıe,,48.19326,16.38859,Entire rental unit,Entire home/apt
49982323,,0,Leopoldstadt,,48.224705,16.40242,Entire condominium (condo),Entire home/apt
49983264,,0,Leopoldstadt,,48.22039,16.37767,Entire condominium (condo),Entire home/apt
49983512,,0,Leopoldstadt,,48.224705,16.40242,Entire condominium (condo),Entire home/apt
49983815,,0,Leopoldstadt,,48.224705,16.40242,Entire condominium (condo),Entire home/apt
49991999,,0,Leopoldstadt,,48.224705,16.40242,Entire condominium (condo),Entire home/apt
49992345,,0,Leopoldstadt,,48.22471,16.40242,Entire condominium (condo),Entire home/apt
49993043,,0,Favoriten,,48.1766,16.37854,Private room in rental unit,Private room
50000916,,0,Liesing,,48.13991,16.26079,Entire condominium (condo),Entire home/apt
50003509,Innere Stadt,5,Margareten,,48.19442,16.36014,Entire rental unit,Entire home/apt
50007630,,80,W∂?hring,,48.22463,16.34058,Entire rental unit,Entire home/apt
50019410,,0,Favoriten,,48.17886,16.37881,Private room in rental unit,Private room
50019826,Hernals,8,Hernals,,48.22395,16.31498,Entire condominium (condo),Entire home/apt
50020018,Brigittenau,6,Margareten,,48.19484,16.35762,Private room in serviced apartment,Private room
50023224,,2,Margareten,,48.180904,16.358395,Private room in guesthouse,Private room
50025989,Margareten,24,Landstra∂ıe,,48.19971,16.37969,Entire rental unit,Entire home/apt
50031068,Staria Grad,3,Neubau,,48.20093,16.33862,Entire rental unit,Entire home/apt
50042147,,0,Ottakring,,48.2153,16.31383,Entire condominium (condo),Entire home/apt
50042639,Favoriten,21,Favoriten,,48.17866,16.37402,Entire rental unit,Entire home/apt
50043668,,84,Ottakring,,48.20473,16.3307,Entire rental unit,Entire home/apt
50045525,Leopoldstadt,69,Hernals,,48.21802,16.33755,Private room in rental unit,Private room
50045545,,0,Rudolfsheim-F∂?nfhaus,,48.20004,16.327,Entire condominium (condo),Entire home/apt
50047111,Margareten,24,Landstra∂ıe,,48.20156,16.37864,Entire rental unit,Entire home/apt
50059903,,5,Rudolfsheim-F∂?nfhaus,,48.19727,16.33041,Entire condominium (condo),Entire home/apt
50061937,,0,Favoriten,,48.17884,16.3805,Private room in rental unit,Private room
50062726,,0,Favoriten,,48.17793,16.38042,Private room in rental unit,Private room
50063029,,2,Margareten,,48.1803,16.3574,Private room in rental unit,Private room
50063735,,0,Ottakring,,48.2135,16.30655,Entire condominium (condo),Entire home/apt
50068202,,2,Alsergrund,,48.22434,16.35561,Entire loft,Entire home/apt
50079318,,0,Brigittenau,,48.23044,16.37259,Entire condominium (condo),Entire home/apt
50080267,,0,Neubau,,48.20463,16.34232,Entire condominium (condo),Entire home/apt
50080408,Margareten,57,Margareten,,48.18288,16.35265,Entire rental unit,Entire home/apt
50080593,,1,Innere Stadt,,48.2019,16.37086,Entire rental unit,Entire home/apt
50081422,,1,Innere Stadt,,48.20075,16.37257,Entire rental unit,Entire home/apt
50082402,,42,Josefstadt,,48.21482,16.34276,Private room in rental unit,Private room
50083134,,42,Brigittenau,,48.23093,16.3739,Private room in rental unit,Private room
50085916,,0,Brigittenau,,48.242,16.379,Entire condominium (condo),Entire home/apt
50090696,,0,Ottakring,,48.21153,16.32741,Entire rental unit,Entire home/apt
50093422,Ottakring,2,Ottakring,,48.21019,16.32738,Private room in rental unit,Private room
50094795,Innere Stadt,8,Leopoldstadt,,48.21961,16.40407,Entire serviced apartment,Entire home/apt
50094973,Rudolfsheim-F«¨nfhaus,77,Landstra∂ıe,,48.19071,16.38591,Entire condominium (condo),Entire home/apt
50097113,,0,D∂?bling,,48.23334,16.34766,Private room in rental unit,Private room
50100938,,0,Alsergrund,,48.21906,16.35865,Entire rental unit,Entire home/apt
50100944,Mariahilf,2,Landstra∂ıe,,48.20245,16.38479,Entire rental unit,Entire home/apt
50110273,,1,Mariahilf,,48.18901,16.3469,Private room in rental unit,Private room
50112038,,0,Alsergrund,,48.22705,16.35456,Entire condominium (condo),Entire home/apt
50112259,,3,Favoriten,,48.17371,16.38327,Entire condominium (condo),Entire home/apt
50116202,,0,Landstra∂ıe,,48.20586,16.39498,Entire rental unit,Entire home/apt
50120997,,0,Neubau,,48.20519,16.33873,Entire loft,Entire home/apt
50125474,,1,W∂?hring,,48.22071,16.33664,Entire rental unit,Entire home/apt
50125749,Margareten,1,Margareten,,48.18318,16.35108,Private room in hostel,Private room
50129030,,5,Rudolfsheim-F∂?nfhaus,,48.19737,16.33054,Entire condominium (condo),Entire home/apt
50130062,,0,Landstra∂ıe,,48.20149,16.39918,Entire condominium (condo),Entire home/apt
50132867,Margareten,1,Margareten,,48.18482,16.35103,Private room in hostel,Private room
50133233,Margareten,1,Margareten,,48.18478,16.35213,Private room in hostel,Private room
50134150,,0,Landstra∂ıe,,48.1976,16.39269,Entire rental unit,Entire home/apt
50139534,,0,Donaustadt,,48.24888,16.43801,Entire condominium (condo),Entire home/apt
50140640,,2,Brigittenau,,48.23001,16.37103,Private room in loft,Private room
50141263,,2,Margareten,,48.18491,16.35294,Private room in rental unit,Private room
50141751,,2,Margareten,,48.1864,16.35293,Private room in guesthouse,Private room
50143480,,0,Innere Stadt,,48.20336,16.37381,Entire condominium (condo),Entire home/apt
50144034,Leopoldstadt,63,Meidling,,48.18448,16.34077,Entire guest suite,Entire home/apt
50145347,,1,Josefstadt,,48.20975,16.34229,Entire rental unit,Entire home/apt
50146048,Alsergrund,9,Landstra∂ıe,,48.19169,16.38565,Entire condominium (condo),Entire home/apt
50146276,Margareten,1,Margareten,,48.18333,16.35284,Shared room in hostel,Shared room
50150560,Ottakring,30,Ottakring,,48.21167,16.33807,Entire rental unit,Entire home/apt
50158779,,13,Leopoldstadt,,48.22618,16.37178,Entire condominium (condo),Entire home/apt
50159410,Favoriten,1,Favoriten,,48.17845,16.38521,Entire condominium (condo),Entire home/apt
50171175,,2,Simmering,,48.18046,16.4154,Private room in condominium (condo),Private room
50184779,,2,Alsergrund,,48.22675,16.35012,Entire rental unit,Entire home/apt
50185063,,0,Mariahilf,,48.19759,16.34893,Entire condominium (condo),Entire home/apt
50186576,Leopoldstadt,5,Brigittenau,,48.23306,16.36733,Entire rental unit,Entire home/apt
50187740,,84,Mariahilf,,48.196587,16.345758,Entire rental unit,Entire home/apt
50188642,,1,W∂?hring,,48.22955,16.33998,Private room in serviced apartment,Private room
50196883,,5,Leopoldstadt,,48.22475,16.39974,Entire rental unit,Entire home/apt
50201316,,1,Leopoldstadt,,48.22205,16.39941,Entire rental unit,Entire home/apt
50202171,,0,Mariahilf,,48.19966,16.3553,Entire condominium (condo),Entire home/apt
50205886,,84,Landstra∂ıe,,48.19547,16.3884,Entire rental unit,Entire home/apt
50206201,Innere Stadt,22,Innere Stadt,,48.21362,16.37086,Entire rental unit,Entire home/apt
50207390,Hernals,0,Hernals,,48.219563,16.3333,Entire condominium (condo),Entire home/apt
50208724,,2,Innere Stadt,,48.20911,16.37632,Entire rental unit,Entire home/apt
50220622,,13,Leopoldstadt,,48.22665,16.37203,Entire condominium (condo),Entire home/apt
50222526,,1,Landstra∂ıe,,48.19387,16.40683,Entire rental unit,Entire home/apt
50222591,,0,Brigittenau,,48.22745,16.36701,Entire condominium (condo),Entire home/apt
50226804,,0,Margareten,,48.18571,16.34905,Private room in rental unit,Private room
50234545,Innere Stadt,22,Innere Stadt,,48.21662,16.36934,Entire rental unit,Entire home/apt
50235361,,3,Rudolfsheim-F∂?nfhaus,,48.1996,16.333958,Entire serviced apartment,Entire home/apt
50235536,,3,Rudolfsheim-F∂?nfhaus,,48.20004,16.33295,Entire serviced apartment,Entire home/apt
50236890,,1,Neubau,,48.20319,16.35348,Entire rental unit,Entire home/apt
50238315,Leopoldstadt,69,Penzing,,48.19512,16.30959,Private room in rental unit,Private room
50244249,Leopoldstadt,69,W∂?hring,,48.22337,16.3426,Private room in rental unit,Private room
50244460,Leopoldstadt,69,W∂?hring,,48.22154,16.34285,Private room in rental unit,Private room
50244791,Leopoldstadt,69,W∂?hring,,48.2213,16.34294,Private room in rental unit,Private room
50248596,,1,Meidling,,48.17817,16.34306,Entire rental unit,Entire home/apt
50251392,,0,Mariahilf,,48.19094,16.3409,Entire rental unit,Entire home/apt
50257799,,0,Margareten,,48.1872,16.34625,Entire rental unit,Entire home/apt
50260099,,0,Neubau,,48.206215,16.33779,Entire loft,Entire home/apt
50260762,,0,Landstra∂ıe,,48.19484,16.39826,Private room in rental unit,Private room
50264411,D«Ùbling,1,D∂?bling,,48.25292,16.29587,Entire rental unit,Entire home/apt
50270797,,13,Leopoldstadt,,48.22658,16.37188,Entire condominium (condo),Entire home/apt
50270938,,13,Brigittenau,,48.22757,16.3702,Entire condominium (condo),Entire home/apt
50271014,,13,Brigittenau,,48.22833,16.37046,Entire condominium (condo),Entire home/apt
50271204,,13,Brigittenau,,48.22842,16.37172,Entire condominium (condo),Entire home/apt
50272776,,0,Leopoldstadt,,48.22563,16.40284,Entire rental unit,Entire home/apt
50275395,Wieden,30,Alsergrund,,48.21976,16.36657,Entire rental unit,Entire home/apt
50276762,,2,Leopoldstadt,,48.22114,16.37762,Entire condominium (condo),Entire home/apt
50277123,Wieden,30,Alsergrund,,48.21957,16.36647,Entire rental unit,Entire home/apt
50277137,,0,Ottakring,,48.221138,16.315105,Entire condominium (condo),Entire home/apt
50277512,,2,Margareten,,48.18065,16.35736,Entire rental unit,Entire home/apt
50277724,Leopoldstadt,5,Brigittenau,,48.23103,16.36923,Entire rental unit,Entire home/apt
50279866,Meidling,6,Penzing,,48.18961,16.30646,Entire condominium (condo),Entire home/apt
50283071,,4,Innere Stadt,,48.20857,16.3718,Entire rental unit,Entire home/apt
50283971,Innere Stadt,8,Innere Stadt,,48.20801,16.36895,Entire rental unit,Entire home/apt
50290433,,13,Brigittenau,,48.22851,16.37146,Entire condominium (condo),Entire home/apt
50290559,,13,Leopoldstadt,,48.22632,16.37165,Entire condominium (condo),Entire home/apt
